"filename", "language", "JSON", "TypeScript", "JSON with Comments", "HTML", "JavaScript", "CSS", "Markdown", "XML", "MS SQL", "comment", "blank", "total"
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\src\load-env.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\src\middleware\auth.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 2, 10, 64
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\src\routes\admin.ts", "TypeScript", 0, 435, 0, 0, 0, 0, 0, 0, 0, 19, 49, 503
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\src\routes\auth.ts", "TypeScript", 0, 308, 0, 0, 0, 0, 0, 0, 0, 41, 65, 414
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\src\routes\cv.ts", "TypeScript", 0, 567, 0, 0, 0, 0, 0, 0, 0, 43, 99, 709
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\src\routes\search.ts", "TypeScript", 0, 103, 0, 0, 0, 0, 0, 0, 0, 4, 16, 123
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\src\services\ChunkQualityService.ts", "TypeScript", 0, 321, 0, 0, 0, 0, 0, 0, 0, 0, 24, 345
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\src\services\EmbeddingService.ts", "TypeScript", 0, 94, 0, 0, 0, 0, 0, 0, 0, 2, 16, 112
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\src\services\RankingService.ts", "TypeScript", 0, 157, 0, 0, 0, 0, 0, 0, 0, 6, 23, 186
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\src\tests\test_gun34_socket.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 2, 11, 49
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\src\utils\canva_oauth_server.ts", "TypeScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 1, 16, 91
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\src\utils\embeddings.ts", "TypeScript", 0, 364, 0, 0, 0, 0, 0, 0, 0, 16, 41, 421
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\src\utils\fetch_canva_designs.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 8, 31
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\src\utils\parser.ts", "TypeScript", 0, 1879, 0, 0, 0, 0, 0, 0, 0, 134, 246, 2259
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\test_db.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\tests\fixtures\ground_truth_dataset.ts", "TypeScript", 0, 580, 0, 0, 0, 0, 0, 0, 0, 25, 143, 748
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\tests\generate_chunking_report.ts", "TypeScript", 0, 76, 0, 0, 0, 0, 0, 0, 0, 5, 23, 104
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\tests\verify_baseline_chunking.test.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\tests\verify_canva_cv_chunking.test.ts", "TypeScript", 0, 195, 0, 0, 0, 0, 0, 0, 0, 9, 42, 246
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\tests\verify_chunking_overhaul.test.ts", "TypeScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 2, 18, 99
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\tests\verify_gun21.ts", "TypeScript", 0, 105, 0, 0, 0, 0, 0, 0, 0, 7, 20, 132
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\tests\verify_gun22.ts", "TypeScript", 0, 158, 0, 0, 0, 0, 0, 0, 0, 15, 31, 204
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\tests\verify_gun23.test.ts", "TypeScript", 0, 264, 0, 0, 0, 0, 0, 0, 0, 27, 51, 342
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\tests\verify_gun24.test.ts", "TypeScript", 0, 172, 0, 0, 0, 0, 0, 0, 0, 32, 37, 241
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\tests\verify_gun25.test.ts", "TypeScript", 0, 225, 0, 0, 0, 0, 0, 0, 0, 30, 54, 309
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\tests\verify_gun26.test.ts", "TypeScript", 0, 322, 0, 0, 0, 0, 0, 0, 0, 25, 65, 412
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\tests\verify_gun30.ts", "TypeScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 4, 21, 104
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\tests\verify_gun31.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 3, 13, 67
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\tsconfig.json", "JSON with Comments", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\MSI\Desktop\STAJ22001\astro-project\skills-lock.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\MSI\Desktop\STAJ22001\astro-project\src\assets\astro.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\MSI\Desktop\STAJ22001\astro-project\src\assets\background.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\MSI\Desktop\STAJ22001\astro-project\src\env.d.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\MSI\Desktop\STAJ22001\astro-project\src\lib\supabase.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\MSI\Desktop\STAJ22001\astro-project\src\middleware.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 7, 11, 59
"c:\Users\MSI\Desktop\STAJ22001\astro-project\src\stitch-temp\admin_dashboard.html", "HTML", 0, 0, 0, 447, 0, 0, 0, 0, 0, 0, 1, 448
"c:\Users\MSI\Desktop\STAJ22001\astro-project\src\stitch-temp\candidate_profile.html", "HTML", 0, 0, 0, 332, 0, 0, 0, 0, 0, 0, 1, 333
"c:\Users\MSI\Desktop\STAJ22001\astro-project\src\stitch-temp\candidate_search.html", "HTML", 0, 0, 0, 327, 0, 0, 0, 0, 0, 0, 1, 328
"c:\Users\MSI\Desktop\STAJ22001\astro-project\src\stitch-temp\reports_dashboard.html", "HTML", 0, 0, 0, 446, 0, 0, 0, 0, 0, 0, 1, 447
"c:\Users\MSI\Desktop\STAJ22001\astro-project\src\stitch-temp\system_settings_5a6.html", "HTML", 0, 0, 0, 262, 0, 0, 0, 0, 0, 0, 1, 263
"c:\Users\MSI\Desktop\STAJ22001\astro-project\src\stitch-temp\system_settings_f5b.html", "HTML", 0, 0, 0, 316, 0, 0, 0, 0, 0, 0, 1, 317
"c:\Users\MSI\Desktop\STAJ22001\astro-project\src\stitch-temp\user_management.html", "HTML", 0, 0, 0, 341, 0, 0, 0, 0, 0, 0, 1, 342
"c:\Users\MSI\Desktop\STAJ22001\astro-project\src\styles\global.css", "CSS", 0, 0, 0, 0, 0, 966, 0, 0, 0, 0, 75, 1041
"c:\Users\MSI\Desktop\STAJ22001\astro-project\tsconfig.json", "JSON with Comments", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 14298, 7545, 25, 2471, 159, 966, 195, 11, 96, 511, 1557, 27834
